
gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.0e+01
L-moments,mu=69.00955138,alpha=9.76513435,gamma=0.24959150,n=100

gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;rej_b=0.001;n=1.5e+02
VWLS,mu=69.37407984,alpha=11.05374368,gamma=0.19400836,n=150
MLE,mu=68.88559699,alpha=9.25706739,gamma=0.32324358,n=150
PWM,mu=69.71046870,alpha=10.94898342,gamma=0.15069988,n=150
L-moments,mu=69.18987924,alpha=9.84201013,gamma=0.24205606,n=150

gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;rej_b=0.001;n=2.0e+02
VWLS,mu=69.86439548,alpha=11.08730243,gamma=0.18101167,n=200
MLE,mu=69.34541209,alpha=9.43455558,gamma=0.30842260,n=200
PWM,mu=70.07804267,alpha=10.89300849,gamma=0.15603018,n=200
L-moments,mu=69.68317603,alpha=10.06202585,gamma=0.22485442,n=200

gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.06324641,alpha=11.49957265,gamma=0.56785542,n=10
MLE,mu=61.65113508,alpha=1.11454902,gamma=5.63449989,n=10
PWM,mu=85.22761729,alpha=14.69293136,gamma=-1.62463530,n=10
L-moments,mu=70.44250840,alpha=11.44714241,gamma=0.26667310,n=10

gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=69.33285081,alpha=14.73758559,gamma=0.45188971,n=15
MLE,mu=68.46008247,alpha=10.15759432,gamma=0.63122140,n=15
PWM,mu=77.80842170,alpha=22.46466822,gamma=-0.51105006,n=15
L-moments,mu=69.43857014,alpha=12.64670499,gamma=0.33032443,n=15

gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.82885871,alpha=10.51429630,gamma=0.55189887,n=20
MLE,mu=68.09175572,alpha=8.51798012,gamma=0.52118263,n=20
PWM,mu=73.03378038,alpha=17.38147714,gamma=-0.25340946,n=20
L-moments,mu=68.09853686,alpha=9.12644620,gamma=0.40971667,n=20

gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;rej_b=0.001;n=3.0e+01
VWLS,mu=67.49487061,alpha=7.77839771,gamma=0.56490299,n=30
MLE,mu=67.94957444,alpha=7.67450331,gamma=0.42074703,n=30
PWM,mu=70.65316247,alpha=13.25540386,gamma=-0.10816030,n=30
L-moments,mu=67.83277912,alpha=7.77586097,gamma=0.38370798,n=30

gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;rej_b=0.001;n=5.0e+01
VWLS,mu=68.09032688,alpha=10.27099744,gamma=0.36641201,n=50
MLE,mu=67.90960706,alpha=7.84044799,gamma=0.48478257,n=50
PWM,mu=69.66814145,alpha=11.87572698,gamma=0.10847783,n=50
L-moments,mu=68.18136590,alpha=8.46016889,gamma=0.37290218,n=50

gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;rej_b=0.001;n=1.0e+02
VWLS,mu=68.99779704,alpha=10.64025962,gamma=0.34202398,n=100
MLE,mu=68.69283517,alpha=9.02790354,gamma=0.43775789,n=100
PWM,mu=69.82538945,alpha=11.51572834,gamma=0.20403343,n=100
L-moments,mu=69.08968122,alpha=9.78606831,gamma=0.32696346,n=100

gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;rej_b=0.001;n=1.5e+02
VWLS,mu=69.41321140,alpha=11.47622616,gamma=0.26736047,n=150
MLE,mu=68.85862606,alpha=9.14686619,gamma=0.42757958,n=150
PWM,mu=69.77261609,alpha=11.06967909,gamma=0.23419136,n=150
L-moments,mu=69.29135378,alpha=9.91804599,gamma=0.31575906,n=150

gev-mu=70,alpha=10,gamma=0.4,N=e6.csv;rej_b=0.001;n=2.0e+02
VWLS,mu=69.90901290,alpha=11.51737037,gamma=0.25464517,n=200
MLE,mu=69.30952022,alpha=9.35673237,gamma=0.41343896,n=200
PWM,mu=70.14848430,alpha=11.04137872,gamma=0.23795386,n=200
L-moments,mu=69.78262711,alpha=10.17620400,gamma=0.29932986,n=200

gev-mu=70,alpha=10,gamma=0.5,N=e6.csv;rej_b=0.001;n=1.0e+01
